SRA experiment	BioSample
SRX10478448	SAMN18513977
DRX114662	SAMD00107113
SRX14659713	SAMN26853192
DRX048535	SAMD00045828
DRX114707	SAMD00107125
SRX16829024	SAMN30128311
SRX10187494	SAMN12641506
DRX014711	SAMD00009005
SRX8291415	SAMN14854029
SRX4306019	SAMN09489789
SRX1548204	SAMN04442408
SRX1444520	SAMN04285750
SRX6800737	SAMN12691863
SRX6704551	SAMN12563023
ERX2560120	SAMEA4625051
SRX212301	SAMN01840355
SRX1367371	SAMN04198568
SRX026263	SAMN00109934
SRX2734067	SAMN06712132
SRX6060996	SAMN12046860
SRX9613112	SAMN16969390
SRX10001302	SAMN17734312
SRX077858	SAMN00627829
SRX5055009	SAMN10442472
SRX5913660	SAMN11877743
SRX1272807	SAMN04100878
SRX1801654	SAMN05179548
SRX040391	SAMN00204031
ERX2690378	SAMEA4766519
SRX10375571	SAMN18350764
SRX10442192	SAMN18489535
SRX11758129	SAMN20793195
SRX3734328	SAMN08581066
SRX1568592	SAMN04481911
SRX886369	SAMN03366668
SRX10920334	SAMN19241712
SRX10037233	SAMN17812063
SRX14438534	SAMN26582614
SRX16120019	SAMN29635210
SRX10187529	SAMN13691206
SRX332736	SAMN02313886
SRX11070610	SAMN19572960
SRX445241	SAMN02439311
DRX239216	SAMD00251177
SRX10037234	SAMN17812062
SRX3868791	SAMN08824584
SRX1286294	SAMN04110985
ERX3721045	SAMEA6373152
SRX878129	SAMN03159557
SRX1431699	SAMN04267210
DRX326299	SAMD00436949
SRX124687	SAMN00794435
SRX6802691	SAMN12696021
SRX610766	SAMN02866362
SRX5880862	SAMN11811698
DRX013175	SAMD00013181
SRX4161612	SAMN09345338
SRX8473459	SAMN15104929
SRX1064322	SAMN03781498
SRX12378627	SAMN21860513
ERX5359069	SAMEA8492263
ERX3596780	SAMEA6087988
SRX9292689	SAMN16243167
SRX20623991	SAMN35661487
ERX4997035	SAMEA7872037
SRX20623992	SAMN35661486
SRX10407083	SAMN18418923
SRX8181982	SAMN14738799
SRX2683514	SAMN06651239
SRX134731	SAMN00847535
SRX10475783	SAMN18514236
SRX5846246	SAMN10992117
SRX10187508	SAMN13691268
SRX10187479	SAMN13161459
SRX2370590	SAMN06044554
SRX6060979	SAMN12046892
SRX1474514	SAMN04330311
SRX474007	SAMN02646654
SRX8109065	SAMN14574373
SRX2683522	SAMN06651229
SRX7974648	SAMN14430450
SRX1054536	SAMN03766263
SRX474006	SAMN02646652
SRX474005	SAMN02646653
SRX136946	SAMN00849927
SRX12287185	SAMN21523883
SRX10187562	SAMN13691269
SRX2628141	SAMN06554867
SRX9613121	SAMN16969426
SRX6060998	SAMN12046925
SRX2628135	SAMN06554873
SRX2628127	SAMN06554880
SRX2628137	SAMN06554869
SRX023215	SAMN00016958
SRX2628133	SAMN06554874
SRX2628125	SAMN06554882
SRX10606575	SAMN18747549
SRX11453847	SAMN20240308
SRX2254522	SAMN05930247
SRX8939702	SAMN15808889
SRX10001303	SAMN17734311
SRX10475273	SAMN18513632
SRX863778	SAMN03325308
DRX021118	SAMD00020001
SRX10001305	SAMN17734309
SRX13439155	SAMN24060710
SRX13439156	SAMN24060711
SRX13439157	SAMN24060712
SRX13439158	SAMN24060713
SRX14557636	SAMN26856219
SRX069125	SAMN00622250
SRX8473458	SAMN15104930
SRX1474439	SAMN04330376
SRX10828251	SAMN19092609
SRX2518694	SAMN06273484
SRX9613087	SAMN16969374
SRX2518692	SAMN06273478
SRX4905627	SAMN10258626
SRX12578555	SAMN22227002
SRX10001306	SAMN17734308
SRX8037078	SAMN14506548
SRX371983	SAMN02389602
SRX1892842	SAMN05346313
SRX12287224	SAMN21523913
SRX1474460	SAMN04330328
SRX4161608	SAMN09345344
SRX4488123	SAMN09742295
SRX2683518	SAMN06651235
SRX3160961	SAMN07605025
SRX1064321	SAMN03781494
SRX8564072	SAMN15295664
SRX040401	SAMN00204034
SRX4036947	SAMN09060236
SRX1064319	SAMN03781759
SRX6060981	SAMN12046887
SRX1458083	SAMN04305507
DRX273451	SAMD00290017
SRX7555963	SAMN13854824
SRX10035147	SAMN17804409
SRX14774402	SAMN27401697
SRX5866150	SAMN11784672
SRX5866152	SAMN11784669
SRX10244352	SAMN18153613
SRX7435326	SAMN13673809
SRX1530373	SAMN04413766
SRX10157962	SAMN18040222
SRX4905650	SAMN10258636
ERX306454	SAMEA2189703
SRX14155970	SAMN25884757
SRX096343	SAMN00716119
ERX2557237	SAMEA4618214
SRX1959580	SAMN05415097
SRX1458085	SAMN04305509
SRX243626	SAMN01923809
SRX10880532	SAMN19190607
SRX1474449	SAMN04330386
SRX2823537	SAMN07124060
DRX273449	SAMD00290015
SRX9613129	SAMN16969449
SRX9613139	SAMN16969258
SRX1474428	SAMN04330365
SRX8037074	SAMN14506552
ERX5361911	SAMEA8497638
SRX18988640	SAMN32658654
SRX13373948	SAMN23845327
SRX2823538	SAMN07124059
SRX4036951	SAMN09060232
SRX6060985	SAMN12046841
SRX6060987	SAMN12046881
SRX11666804	SAMN20600168
ERX3648293	SAMEA6168434
ERX1264354	SAMEA3708905
SRX7101367	SAMN13207286
SRX2543990	SAMN06309482
SRX9689613	SAMN17089121
SRX1474446	SAMN04330383
SRX101303	SAMN00739329
SRX9613118	SAMN16969432
SRX4964894	SAMN10358793
SRX11825885	SAMN20862156
SRX6060994	SAMN12046863
SRX2823509	SAMN07124092
SRX2823539	SAMN07124058
SRX10973832	SAMN19319717
SRX1474431	SAMN04330368
SRX9613125	SAMN16969418
SRX243628	SAMN01923811
SRX2823511	SAMN07124090
SRX2823508	SAMN07124093
SRX4797272	SAMN10176506
SRX2823542	SAMN07124055
SRX2823514	SAMN07124087
SRX2823543	SAMN07124054
SRX1458091	SAMN04305515
SRX2823545	SAMN07124052
SRX1458093	SAMN04305517
SRX2823513	SAMN07124088
SRX2823507	SAMN07124094
SRX6802697	SAMN12696015
ERX4997040	SAMEA7872042
SRX1892846	SAMN05346317
SRX6802683	SAMN12695977
ERX3579644	SAMEA6059152
SRX1122918	SAMN03941720
SRX10001308	SAMN17734306
ERX3252098	SAMEA5425107
SRX6802687	SAMN12696025
SRX1892847	SAMN05346319
SRX2254531	SAMN05930238
SRX9535592	SAMN16829902
SRX14840949	SAMN27555191
SRX2254532	SAMN05930237
SRX1530371	SAMN04413764
SRX17214553	SAMN30498497
SRX277133	SAMN02142033
SRX2823505	SAMN07124096
SRX3991260	SAMN08976713
SRX4905644	SAMN10258642
SRX4797274	SAMN10176502
SRX1474456	SAMN04330324
SRX1474521	SAMN04330318
SRX1474517	SAMN04330314
SRX1474452	SAMN04330389
SRX2547928	SAMN06317908
SRX11049546	SAMN19514135
SRX3680555	SAMN08518041
SRX3680556	SAMN08518063
SRX11049549	SAMN19514131
DRX036833	SAMD00034919
SRX11049555	SAMN19514139
SRX3664288	SAMN08482420
SRX10895103	SAMN19195201
SRX10475260	SAMN18513479
SRX13005468	SAMN22786038
SRX2370687	SAMN06044529
SRX10412077	SAMN18423242
SRX11049552	SAMN19514128
ERX3183197	SAMEA5335940
SRX1638917	SAMN04558716
SRX4112828	SAMN09237962
SRX12964931	SAMN22867326
SRX11049558	SAMN19514143
SRX2547950	SAMN06317864
SRX15408737	SAMN28590829
SRX767115	SAMN03218146
SRX10194691	SAMN18093969
SRX8468782	SAMN15098858
DRX230605	SAMD00239440
SRX1000224	SAMN03492271
SRX11014500	SAMN19402000
SRX069155	SAMN00622280
SRX200040	SAMN01774253
SRX069144	SAMN00622269
SRX069191	SAMN00622316
SRX5679921	SAMN11414776
SRX017557	SAMN00009767
SRX3962726	SAMN08949790
SRX1184127	SAMN04032793
SRX1184133	SAMN04032799
SRX1542136	SAMN04435631
SRX3630750	SAMN08438845
SRX7972422	SAMN14428002
SRX2851557	SAMN07163218
SRX2606560	SAMN06470148
SRX1451223	SAMN04292903
SRX1451224	SAMN04292904
SRX1721489	SAMN04886709
SRX8288533	SAMN14850124
SRX2207915	SAMN05859555
SRX016997	SAMN00009045
SRX5708813	SAMN11458643
SRX026098	SAMN00109812
SRX1603678	SAMN04519519
SRX2779394	SAMN06883685
SRX8694162	SAMN15484988
SRX2463363	SAMN06203227
SRX1916919	SAMN05368379
SRX10187460	SAMN18053307
SRX100954	SAMN00739215
SRX189393	SAMN01730084
SRX189391	SAMN01730082
SRX14126876	SAMN25828887
SRX10229517	SAMN18128458
SRX483590	SAMN02678387
SRX13880059	SAMN25221643
SRX8722899	SAMN15520507
SRX13880037	SAMN25221634
SRX13880034	SAMN25221637
SRX13880056	SAMN25221646
SRX201287	SAMN01780226
SRX201285	SAMN01780224
SRX13880050	SAMN25221652
SRX13880044	SAMN25221658
SRX13880042	SAMN25221660
SRX13880030	SAMN25221665
SRX13880047	SAMN25221655
SRX13880040	SAMN25221662
SRX483584	SAMN02678380
SRX5704559	SAMN11456518
SRX10299740	SAMN18236173
SRX248434	SAMN01974732
SRX7368251	SAMN13559453
DRX444237	SAMD00596646
SRX069117	SAMN00622242
SRX10476771	SAMN18513508
SRX190022	SAMN01731501
SRX007035	SAMN00008868
SRX4091684	SAMN09216359
SRX13625880	SAMN12583134
SRX15408731	SAMN28590835
SRX5246759	SAMN10740187
SRX816541	SAMN03268518
SRX018991	SAMN00011103
SRX2368888	SAMN06049713
SRX3103106	SAMN07519258
SRX3322116	SAMN07791012
SRX10001372	SAMN17734368
SRX12669717	SAMN22370868
SRX9607924	SAMN16963676
SRX15124039	SAMN28055580
SRX8736949	SAMN15543380
SRX8736937	SAMN15543369
SRX8736940	SAMN15543366
SRX8736955	SAMN15543376
SRX8736952	SAMN15543377
SRX8333227	SAMN14906826
SRX8736943	SAMN15543361
SRX8736958	SAMN15543385
SRX10001323	SAMN17734357
SRX7972424	SAMN14428000
SRX7972425	SAMN14427999
SRX131372	SAMN00839430
SRX10001327	SAMN17734353
ERX4267201	SAMEA7039453
SRX1136724	SAMN03979904
SRX11033322	SAMN19471261
SRX105597	SAMN00754062
SRX15408741	SAMN28590825
SRX1058472	SAMN03775169
SRX7972421	SAMN14428003
SRX4091685	SAMN09216358
SRX4091686	SAMN09216357
SRX7401781	SAMN13616483
SRX037113	SAMN00189405
SRX190033	SAMN01731512
SRX031228	SAMN00120386
SRX8772692	SAMN15582198
SRX5708811	SAMN11458653
SRX8036448	SAMN14501398
SRX9461425	SAMN16709037
SRX193607	SAMN01761115
SRX12136121	SAMN21387022
SRX1003359	SAMN03496736
ERX2832692	SAMEA4957627
SRX1007720	SAMN03566732
SRX10001328	SAMN17734352
SRX2537504	SAMN06294962
SRX10001324	SAMN17734356
SRX1451227	SAMN04292907
SRX15408733	SAMN28590833
SRX10001330	SAMN17734350
SRX10475002	SAMN18512790
SRX11946827	SAMN11774088
SRX10001331	SAMN17734349
SRX10001332	SAMN17734348
SRX15408735	SAMN28590831
SRX7972426	SAMN14427998
SRX14930971	SAMN27670520
SRX7972423	SAMN14428001
SRX15408739	SAMN28590827
SRX130096	SAMN00828927
SRX130094	SAMN00828925
SRX130093	SAMN00828924
SRX8951979	SAMN15825304
SRX2733835	SAMN06711444
SRX10726614	SAMN18954783
SRX15157310	SAMN28094587
SRX10510557	SAMN18614362
SRX1030269	SAMN03700014
SRX4404381	SAMN09689517
SRX1806490	SAMN05185360
SRX4132349	SAMN09272144
SRX10653578	SAMN18823038
SRX1503372	SAMN04372585
SRX11545287	SAMN20371285
SRX8156944	SAMN14671069
SRX14367149	SAMN26435030
SRX8949139	SAMN15822748
SRX1420086	SAMN04243994
SRX8949133	SAMN15822754
SRX13049325	SAMN22982487
SRX2547949	SAMN06317865
SRX1021594	SAMN03612093
SRX3606947	SAMN08427982
SRX8949150	SAMN15822758
SRX3033231	SAMN07412122
SRX10001333	SAMN17734347
SRX1002695	SAMN03496031
SRX8949132	SAMN15822755
SRX1678214	SAMN04605771
SRX6957417	SAMN12956564
SRX1678210	SAMN04605767
SRX8949131	SAMN15822735
SRX10968350	SAMN19313618
SRX10968353	SAMN19313615
SRX11368499	SAMN20089384
SRX7556014	SAMN13854934
SRX8949146	SAMN15822762
DRX036828	SAMD00034925
SRX14367154	SAMN26435037
SRX13217141	SAMN23424230
SRX13052783	SAMN22984291
SRX3703163	SAMN08550199
SRX4987706	SAMN10389158
SRX10475104	SAMN18512659
SRX1099624	SAMN03863716
DRX231243	SAMD00241732
SRX10001336	SAMN17734344
SRX10001337	SAMN17734343
SRX10001338	SAMN17734342
SRX1678212	SAMN04605769
SRX8156953	SAMN14671061
SRX8156956	SAMN14671058
SRX1099625	SAMN03863717
SRX8156950	SAMN14671063
SRX1021581	SAMN03612080
SRX3241379	SAMN07735161
SRX8949137	SAMN15822750
SRX4473678	SAMN09724731
SRX6965689	SAMN12994958
SRX1286324	SAMN04110926
SRX3703150	SAMN08550062
SRX10001339	SAMN17734341
DRX036830	SAMD00034927
SRX7716744	SAMN14091478
SRX7716741	SAMN14091481
SRX2416284	SAMN06132345
SRX5342359	SAMN10881068
SRX10613519	SAMN18752181
SRX2043823	SAMN05616408
SRX10968356	SAMN19313612
DRX021704	SAMD00020940
SRX3044158	SAMN07419835
SRX4978346	SAMN10378876
SRX8949143	SAMN15822772
DRX013185	SAMD00013169
ERX3266631	SAMEA5529067
SRX12007831	SAMN21215098
ERX3266636	SAMEA5529072
SRX10001390	SAMN17734384
SRX2538083	SAMN06297520
SRX2370626	SAMN06044745
ERX3266641	SAMEA5529077
SRX18828515	SAMN32374695
SRX13085219	SAMN23009708
SRX13085211	SAMN23009700
SRX9213104	SAMN16289339
SRX015225	SAMN00007323
SRX9616668	SAMN16974990
SRX10665510	SAMN18848510
SRX2370767	SAMN06044805
SRX7439970	SAMN13679208
SRX1094507	SAMN03857553
SRX6957392	SAMN12956630
SRX10660977	SAMN18814428
SRX332947	SAMN02314024
SRX069142	SAMN00622267
SRX069120	SAMN00622245
SRX069092	SAMN00622217
SRX10184543	SAMN18083325
SRX17866736	SAMN31258069
ERX096872	SAMEA1570924
SRX055158	SAMN00254269
SRX4231396	SAMN09444104
SRX4278332	SAMN09425690
SRX4231394	SAMN09444110
SRX4231398	SAMN09444088
SRX9401510	SAMN16595949
SRX14071898	SAMN25703825
SRX10068561	SAMN17860527
SRX055165	SAMN00254276
SRX4278334	SAMN09425692
SRX761071	SAMN03198259
SRX12582452	SAMN22233236
SRX1037579	SAMN03733400
SRX10474963	SAMN18512990
SRX248481	SAMN01974779
SRX13085222	SAMN23009711
ERX1796156	SAMEA4544992
SRX12024485	SAMN21243797
SRX13052786	SAMN22984294
SRX10660659	SAMN18814150
SRX10476618	SAMN18513242
SRX2370578	SAMN06044707
SRX5706666	SAMN11053099
SRX1458749	SAMN04308768
SRX2993407	SAMN07338962
SRX15465653	SAMN28669273
SRX1744213	SAMN04957185
SRX11582697	SAMN20456152
SRX069132	SAMN00622257
SRX13994927	SAMN25516206
SRX7556026	SAMN13854921
SRX7866141	SAMN14322350
SRX7556027	SAMN13854920
SRX7555968	SAMN13854982
SRX3927314	SAMN08918704
SRX2341965	SAMN06010045
SRX3044724	SAMN07420630
SRX2940748	SAMN07260243
ERX3266646	SAMEA5529082
SRX7299244	SAMN13521326
SRX2420049	SAMN06140087
SRX2858133	SAMN07168866
SRX5185057	SAMN10656411
SRX4776945	SAMN10144215
SRX11145228	SAMN19698798
SRX10613566	SAMN18752384
DRX431471	SAMD00582833
SRX11424553	SAMN20189122
SRX7398088	SAMN13615926
SRX1002825	SAMN03496130
SRX11512873	SAMN20339709
ERX607020	SAMEA2810230
ERX008728	SAMEA1022701
ERX004450	SAMEA717101
ERX206140	SAMEA1877853
SRX2823516	SAMN07124139
SRX10230763	SAMN18128942
SRX1011293	SAMN03569103
SRX10437636	SAMN18474863
DRX076218	SAMD00069718
SRX7715678	SAMN14090674
SRX10230775	SAMN18128904
SRX1054540	SAMN03766267
DRX431463	SAMD00582825
ERX016349	SAMEA787473
ERX629394	SAMEA3121279
SRX856829	SAMN03298505
SRX3832993	SAMN08773751
SRX5651529	SAMN11357744
SRX1723237	SAMN04889841
SRX9288012	SAMN16432020
SRX1069708	SAMN03784746
SRX16111528	SAMN29625308
SRX12521999	SAMN22135778
SRX18644855	SAMN32165267
SRX18952635	SAMN32612872
SRX1123863	SAMN03943838
SRX11145224	SAMN19698792
SRX10049146	SAMN17834446
SRX10056749	SAMN17840231
SRX1116394	SAMN03897233
SRX11145225	SAMN19698793
SRX11145226	SAMN19698794
SRX10636487	SAMN18797334
SRX11145234	SAMN19698809
DRX313732	SAMD00410973
SRX2823523	SAMN07124131
SRX2823524	SAMN07124072
SRX2823527	SAMN07124070
SRX2823528	SAMN07124069
SRX6416954	SAMN12232689
SRX2661246	SAMN06603746
SRX8375612	SAMN14988069
SRX2652415	SAMN06616192
SRX8582071	SAMN15325282
DRX015216	SAMD00011782
DRX015225	SAMD00011692
DRX015234	SAMD00011788
SRX069107	SAMN00622232
SRX215594	SAMN01883265
SRX1926787	SAMN05374467
SRX8574720	SAMN15315561
SRX13171714	SAMN23297127
SRX9724124	SAMN17147408
SRX17321269	SAMN30593854
SRX9616652	SAMN16974676
SRX8342849	SAMN14916453
SRX180893	SAMN01129905
SRX17237022	SAMN30439291
ERX2868711	SAMEA5050324
SRX11412423	SAMN20172877
SRX10131658	SAMN17987746
SRX9969287	SAMN17615472
SRX5552344	SAMN11191537
SRX1074810	SAMN03798556
SRX12877099	SAMN22818343
SRX7767456	SAMN14150205
SRX8377224	SAMN14992784
SRX12779916	SAMN22575021
SRX8377225	SAMN14992721
ERX3559622	SAMEA5975616
SRX4142975	SAMN09284077
SRX8377226	SAMN14992720
SRX11245134	SAMN19923261
SRX4142979	SAMN09284072
SRX1528526	SAMN04397484
SRX10001310	SAMN17734304
SRX026919	SAMN00113448
SRX734236	SAMN03112913
SRX757325	SAMN03174939
SRX11904439	SAMN20969772
SRX4120231	SAMN09253945
SRX6852782	SAMN12757125
SRX2609659	SAMN06469668
SRX14788273	SAMN27479811
SRX174814	SAMN01109521
SRX6852795	SAMN12757112
SRX6852790	SAMN12757117
SRX6852784	SAMN12757123
SRX13660492	SAMN24726662
SRX13660486	SAMN24726674
SRX277136	SAMN02142036
SRX10468624	SAMN18527286
SRX12120844	SAMN21367414
SRX2614878	SAMN06481978
SRX10001311	SAMN17734303
SRX10001312	SAMN17734302
SRX069096	SAMN00622221
SRX15683096	SAMN29005244
DRX015342	SAMD00011840
DRX048490	SAMD00045834
SRX6852783	SAMN12757124
SRX6852785	SAMN12757122
DRX015351	SAMD00011716
ERX2696548	SAMEA4776354
SRX2858198	SAMN07168888
SRX12694135	SAMN22416265
SRX10187467	SAMN18053337
SRX12008012	SAMN21215320
SRX1143596	SAMN03983729
ERX2260037	SAMEA4527695
SRX2731713	SAMN06704635
SRX12149277	SAMN21382192
ERX5429789	SAMEA8567078
SRX19789632	SAMN33943030
SRX6800747	SAMN12691854
SRX1069724	SAMN03784734
SRX20519312	SAMN35369687
SRX10430356	SAMN18449030
SRX1004561	SAMN03497893
SRX12779922	SAMN22575027
SRX8377171	SAMN14992781
SRX8377227	SAMN14992719
SRX1044120	SAMN03744351
DRX015243	SAMD00011767
SRX10159874	SAMN18042141
SRX248479	SAMN01974777
DRX015252	SAMD00011691
SRX4142991	SAMN09284058
SRX10001364	SAMN17734280
SRX20982934	SAMN36407483
SRX381719	SAMN02404758
DRX015261	SAMD00011778
DRX015270	SAMD00011816
SRX381722	SAMN02404759
SRX8377229	SAMN14992717
DRX015279	SAMD00011835
DRX015288	SAMD00011827
SRX11904443	SAMN20969776
SRX8377231	SAMN14992715
SRX7685715	SAMN14049745
SRX11399797	SAMN20152548
DRX015297	SAMD00011773
SRX12694146	SAMN22416254
SRX10159898	SAMN18042162
SRX8377232	SAMN14992820
SRX17024216	SAMN30242778
SRX8377233	SAMN14992819
SRX11813191	SAMN20851007
SRX2858199	SAMN07168887
SRX1044121	SAMN03744352
SRX12779926	SAMN22575031
DRX284474	SAMD00324172
DRX015306	SAMD00011751
SRX129075	SAMN00811108
DRX015315	SAMD00011753
SRX10001307	SAMN17734307
SRX10001360	SAMN17734284
DRX015324	SAMD00011710
SRX6852794	SAMN12757113
SRX11335508	SAMN20014057
DRX015333	SAMD00011878
SRX10001362	SAMN17734282
SRX10159904	SAMN18042185
SRX8377179	SAMN14992726
SRX11023647	SAMN19431968
SRX13439315	SAMN24060919
SRX10001316	SAMN17734297
SRX14203254	SAMN25996042
SRX4143003	SAMN09284033
SRX10035154	SAMN17804402
SRX10001317	SAMN17734296
SRX1044123	SAMN03744354
SRX12779941	SAMN22575046
SRX10231450	SAMN18133003
SRX3394541	SAMN08027870
SRX1044124	SAMN03744355
SRX155757	SAMN01057492
SRX1044122	SAMN03744353
SRX2010835	SAMN05553127
SRX038664	SAMN00191195
SRX12694139	SAMN22416269
SRX2614874	SAMN06481982
DRX015360	SAMD00011809
DRX015378	SAMD00011768
DRX015387	SAMD00011821
SRX761058	SAMN03198247
SRX2145570	SAMN05736476
SRX7873671	SAMN14331685
DRX015396	SAMD00011873
DRX015405	SAMD00011802
DRX015414	SAMD00011733
DRX015423	SAMD00011725
DRX015432	SAMD00011765
DRX019512	SAMD00018550
SRX8377238	SAMN14992814
SRX12007953	SAMN21215369
SRX13373953	SAMN23845332
SRX8375616	SAMN14988058
SRX6852791	SAMN12757116
DRX205074	SAMD00209978
SRX3873708	SAMN08833128
SRX2566759	SAMN06341096
SRX1520577	SAMN04386858
SRX1420085	SAMN04243993
SRX12195263	SAMN21442489
SRX3998623	SAMN08986176
SRX1769685	SAMN05004643
DRX015441	SAMD00011736
SRX069119	SAMN00622244
SRX11465140	SAMN20247334
SRX055169	SAMN00254288
SRX10187504	SAMN13691201
SRX12287205	SAMN21523894
SRX2341964	SAMN06010055
SRX038582	SAMN00191120
SRX6824668	SAMN12721477
SRX10665517	SAMN18848503
SRX185708	SAMN01163706
SRX1596296	SAMN04506182
ERX161932	SAMEA1570918
SRX10976875	SAMN04284498
SRX107284	SAMN00760375
SRX2388757	SAMN06094254
SRX2254716	SAMN05930281
SRX1878877	SAMN05293561
SRX1878879	SAMN05293563
SRX1878881	SAMN05293565
SRX1878883	SAMN05293567
SRX10475287	SAMN18513953
SRX5316603	SAMN10853120
DRX334697	SAMD00442176
SRX1962093	SAMN05420682
SRX12007553	SAMN21214659
SRX4197950	SAMN09400512
SRX4313204	SAMN09501761
SRX10809802	SAMN19055858
SRX15419302	SAMN28600312
SRX018653	SAMN00010771
SRX1878908	SAMN05293595
SRX17846495	SAMN31236996
SRX1878913	SAMN05293600
SRX7563559	SAMN13864255
SRX1878915	SAMN05293602
SRX1878917	SAMN05293604
SRX1878919	SAMN05293606
SRX1878921	SAMN05293608
SRX1878923	SAMN05293580
SRX6796354	SAMN12684993
SRX11470518	SAMN20248338
SRX1878925	SAMN05293578
SRX10187461	SAMN18053342
DRX049726	SAMD00018696
SRX6783920	SAMN12641571
SRX15589312	SAMN28857425
SRX037111	SAMN00189403
SRX10660627	SAMN18836520
SRX11465146	SAMN20247328
SRX3927302	SAMN08918719
SRX3468032	SAMN08172277
SRX7623420	SAMN13909449
SRX6433366	SAMN12256981
SRX736201	SAMN03120690
SRX2370807	SAMN04284494
SRX15003793	SAMN27783221
SRX019404	SAMN00011766
SRX263261	SAMN02356086
SRX17174288	SAMN30445095
SRX17174319	SAMN30445178
SRX4370433	SAMN09633688
SRX19323265	SAMN33227576
SRX17174303	SAMN30445162
SRX10231438	SAMN18132929
SRX10475143	SAMN18513569
SRX17174300	SAMN30445151
SRX17174299	SAMN30445106
SRX069101	SAMN00622226
SRX263290	SAMN02356131
SRX2370718	SAMN04284357
ERX161917	SAMEA2158858
SRX10162625	SAMN18045675
SRX5783220	SAMN11566989
SRX12299236	SAMN21555194
SRX6365882	SAMN12135143
SRX1123853	SAMN03943812
SRX2144098	SAMN05736250
SRX15799043	SAMN29208707
SRX12299238	SAMN21555196
SRX17935002	SAMN31349714
